"logZ","niter","error","relative_error","below_tolerance","method","mu","nu","max_iter","eps","true_value"
NA,NA,0,0,1,"Gaunt",0.1,0.1,1e+05,0.1,0.104581453021831
0.0953102,2,0.0102458,0.00922843,1,"ST",0.1,0.1,1e+05,0.1,0.104581453021831
0.100348,2,0.00469027,0.00422453,1,"errorBounding",0.1,0.1,1e+05,0.1,0.104581453021831
0.0953102,3,0.0102458,0.00922843,1,"brms",0.1,0.1,1e+05,0.1,0.104581453021831
0.0953102,2,0.0102458,0.00922843,1,"brms_bulk",0.1,0.1,1e+05,0.1,0.104581453021831
NA,NA,0,0,1,"Gaunt",0.1,0.1,1e+05,0.01,0.104581453021831
0.103757,3,0.000915493,0.000824586,1,"ST",0.1,0.1,1e+05,0.01,0.104581453021831
0.100348,2,0.00469027,0.00422453,1,"errorBounding",0.1,0.1,1e+05,0.01,0.104581453021831
0.0953102,3,0.0102458,0.00922843,0,"brms",0.1,0.1,1e+05,0.01,0.104581453021831
0.103757,3,0.000915493,0.000824586,1,"brms_bulk",0.1,0.1,1e+05,0.01,0.104581453021831
NA,NA,0,0,1,"Gaunt",0.1,0.1,1e+05,0.001,0.104581453021831
0.10451,4,7.95343e-05,7.16367e-05,1,"ST",0.1,0.1,1e+05,0.001,0.104581453021831
0.104189,3,0.000435426,0.000392189,1,"errorBounding",0.1,0.1,1e+05,0.001,0.104581453021831
0.103757,4,0.000915493,0.000824586,1,"brms",0.1,0.1,1e+05,0.001,0.104581453021831
0.10451,4,7.95343e-05,7.16367e-05,1,"brms_bulk",0.1,0.1,1e+05,0.001,0.104581453021831
NA,NA,0,0,1,"Gaunt",0.1,0.1,1e+05,1e-04,0.104581453021831
0.104575,5,6.7599e-06,6.08865e-06,1,"ST",0.1,0.1,1e+05,1e-04,0.104581453021831
0.104547,4,3.83996e-05,3.45866e-05,1,"errorBounding",0.1,0.1,1e+05,1e-04,0.104581453021831
0.10451,5,7.95343e-05,7.16367e-05,1,"brms",0.1,0.1,1e+05,1e-04,0.104581453021831
0.104575,5,6.7599e-06,6.08865e-06,1,"brms_bulk",0.1,0.1,1e+05,1e-04,0.104581453021831
NA,NA,0,0,1,"Gaunt",0.1,0.1,1e+05,1e-05,0.104581453021831
0.104581,6,5.64324e-07,5.08287e-07,1,"ST",0.1,0.1,1e+05,1e-05,0.104581453021831
0.104578,5,3.29015e-06,2.96344e-06,1,"errorBounding",0.1,0.1,1e+05,1e-05,0.104581453021831
0.104575,6,6.7599e-06,6.08865e-06,1,"brms",0.1,0.1,1e+05,1e-05,0.104581453021831
0.104581,6,5.64324e-07,5.08287e-07,1,"brms_bulk",0.1,0.1,1e+05,1e-05,0.104581453021831
NA,NA,0,0,1,"Gaunt",0.1,0.1,1e+05,1e-06,0.104581453021831
0.104581,7,4.6399e-08,4.17916e-08,1,"ST",0.1,0.1,1e+05,1e-06,0.104581453021831
